Date,Price
04/09/2024,157.81
03/09/2024,158.61
30/08/2024,165.11
29/08/2024,163.4
28/08/2024,164.5
27/08/2024,166.38
26/08/2024,167.93
23/08/2024,167.43
22/08/2024,165.49
21/08/2024,167.63
20/08/2024,168.96
19/08/2024,168.4
16/08/2024,164.74
15/08/2024,163.17
14/08/2024,162.03
13/08/2024,165.93
12/08/2024,163.95
09/08/2024,165.39
08/08/2024,163.84
07/08/2024,160.75
06/08/2024,160.54
05/08/2024,160.64
02/08/2024,168.4
01/08/2024,172.45
31/07/2024,173.15
30/07/2024,171.86
29/07/2024,171.13
26/07/2024,168.68
25/07/2024,169.16
24/07/2024,174.37
23/07/2024,183.6
22/07/2024,183.35
19/07/2024,179.39
18/07/2024,179.22
17/07/2024,182.62
16/07/2024,185.5
15/07/2024,188.19
12/07/2024,186.78
11/07/2024,187.3
10/07/2024,192.66
09/07/2024,190.44
08/07/2024,190.48
05/07/2024,191.96
03/07/2024,187.39
02/07/2024,186.61
01/07/2024,184.49
28/06/2024,183.42
27/06/2024,186.86
26/06/2024,185.37
25/06/2024,185.58
24/06/2024,180.79
21/06/2024,180.26
20/06/2024,177.71
18/06/2024,176.45
17/06/2024,178.78
14/06/2024,178.37
13/06/2024,176.74
12/06/2024,179.56
11/06/2024,178.19
10/06/2024,176.63
07/06/2024,175.95
06/06/2024,178.35
05/06/2024,177.07
04/06/2024,175.13
03/06/2024,174.42
31/05/2024,173.96
30/05/2024,173.56
29/05/2024,177.4
28/05/2024,178.02
24/05/2024,176.33
23/05/2024,175.06
22/05/2024,178
21/05/2024,179.54
20/05/2024,178.46
17/05/2024,177.29
16/05/2024,175.43
15/05/2024,173.88
14/05/2024,171.93
13/05/2024,170.9
10/05/2024,170.29
09/05/2024,171.58
08/05/2024,171.16
07/05/2024,172.98
06/05/2024,169.83
03/05/2024,168.99
02/05/2024,168.46
01/05/2024,165.57
30/04/2024,164.64
29/04/2024,167.9
26/04/2024,173.69
25/04/2024,157.95
24/04/2024,161.1
23/04/2024,159.92
22/04/2024,157.95
19/04/2024,155.72
18/04/2024,157.46
17/04/2024,156.88
16/04/2024,156
15/04/2024,156.33
12/04/2024,159.19
11/04/2024,160.79
10/04/2024,157.66
09/04/2024,158.14
08/04/2024,156.14
05/04/2024,153.94
04/04/2024,151.94
03/04/2024,156.37
02/04/2024,155.87
01/04/2024,156.5
28/03/2024,152.26
27/03/2024,151.94
26/03/2024,151.7
25/03/2024,151.15
22/03/2024,151.77
21/03/2024,148.74
20/03/2024,149.68
19/03/2024,147.92
18/03/2024,148.48
15/03/2024,142.17
14/03/2024,144.34
13/03/2024,140.77
12/03/2024,139.62
11/03/2024,138.94
08/03/2024,136.29
07/03/2024,135.24
06/03/2024,132.56
05/03/2024,133.78
04/03/2024,134.2
01/03/2024,138.08
29/02/2024,139.78
28/02/2024,137.43
27/02/2024,140.1
26/02/2024,138.75
23/02/2024,145.29
22/02/2024,145.32
21/02/2024,143.84
20/02/2024,142.2
16/02/2024,141.76
15/02/2024,143.94
14/02/2024,147.14
13/02/2024,146.37
12/02/2024,148.73
09/02/2024,150.22
